,network,station,location,channel,starttime,endtime,sampling_rate,data
0,ZZ,FWU3,10,HHE,2019-12-26T00:00:00,2019-12-26T23:59:59.996000,250.0,[ -2718   -384  -1595 ...  11287 -15821  -3071]
1,ZZ,FWU3,10,HHE,2019-11-02T00:00:00,2019-11-02T23:59:59.996000,250.0,[ 1313  1352  1389 ... -1601   130  1031]
2,ZZ,FWU3,10,HHE,2019-12-22T00:00:00,2019-12-22T23:59:59.996000,250.0,[-7410 -5221  3344 ... -3956  4921 11622]
3,ZZ,FWU3,10,HHE,2019-12-15T00:00:00,2019-12-15T23:59:59.996000,250.0,[-11938  -1006  11098 ...   -350   -485   -682]
4,ZZ,FWU3,10,HHE,2019-11-28T00:00:00,2019-11-28T23:59:59.996000,250.0,[-6507 -5165 -3379 ...  -315    59  -251]
5,ZZ,FWU3,10,HHE,2019-12-14T00:00:00,2019-12-14T23:59:59.996000,250.0,[ 1165  3176   295 ...  7827  9068 -7839]
6,ZZ,FWU3,10,HHE,2019-12-01T00:00:00,2019-12-01T23:59:59.996000,250.0,[-4476 -4407 -4417 ... -5466 -2645  -426]
7,ZZ,FWU3,10,HHE,2019-11-25T00:00:00,2019-11-25T23:59:59.996000,250.0,[  136   -96  -365 ...  4032 -3951 -7542]
8,ZZ,FWU3,10,HHE,2019-11-24T00:00:00,2019-11-24T23:59:59.996000,250.0,[ 12842   5643 -18878 ...    151    180    420]
9,ZZ,FWU3,10,HHE,2019-12-05T00:00:00,2019-12-05T23:59:59.996000,250.0,[40413 42777 22416 ... -1518  -841  -241]
10,ZZ,FWU3,10,HHE,2019-11-23T00:00:00,2019-11-23T23:59:59.996000,250.0,[ -1064  -1226    459 ... -13775   5665   7584]
11,ZZ,FWU3,10,HHE,2019-11-15T00:00:00,2019-11-15T23:59:59.996000,250.0,[  213   608   577 ... -3106 -3449 -2328]
12,ZZ,FWU3,10,HHE,2019-11-01T00:00:00,2019-11-01T23:59:59.996000,250.0,[-1962 -2085 -2233 ...  1254  1253  1219]
13,ZZ,FWU3,10,HHE,2019-11-07T00:00:00,2019-11-07T23:59:59.996000,250.0,[ 1809   872  -789 ... -4196 -7824   760]
14,ZZ,FWU3,10,HHE,2019-11-29T00:00:00,2019-11-29T23:59:59.996000,250.0,[ -325   -80  -226 ... -1640 -1126  -121]
15,ZZ,FWU3,10,HHE,2019-12-24T00:00:00,2019-12-24T23:59:59.996000,250.0,[1933 2298  402 ... 2460 -316 2308]
16,ZZ,FWU3,10,HHE,2019-11-06T00:00:00,2019-11-06T23:59:59.996000,250.0,[-6415 -2694 -4183 ... -1741 -1427    61]
17,ZZ,FWU3,10,HHE,2019-12-09T00:00:00,2019-12-09T23:59:59.996000,250.0,[ -1490 -17770  -9469 ...  -1081   -851   -997]
18,ZZ,FWU3,10,HHE,2019-12-12T00:00:00,2019-12-12T23:59:59.996000,250.0,[-2618 -2072 -1084 ...  8453 -1204  7541]
19,ZZ,FWU3,10,HHE,2019-11-05T00:00:00,2019-11-05T18:49:16.284000,250.0,[ 7831 -1269 -3573 ... 25877 25800 25328]
20,ZZ,FWU3,10,HHE,2019-12-25T00:00:00,2019-12-25T23:59:59.996000,250.0,[  302 -3373  1162 ...  -990  2706 -5013]
21,ZZ,FWU3,10,HHE,2019-12-27T00:00:00,2019-12-27T01:55:33.216000,250.0,[ 10877 -22563   4706 ...   1270   1022  28416]
22,ZZ,FWU3,10,HHE,2019-12-19T00:00:00,2019-12-19T23:59:59.996000,250.0,[-134 -346  704 ... 2598 2408 1639]
23,ZZ,FWU3,10,HHE,2019-11-20T00:00:00,2019-11-20T23:59:59.996000,250.0,[222  77 386 ... 356 463 178]
24,ZZ,FWU3,10,HHE,2019-12-13T00:00:00,2019-12-13T23:59:59.996000,250.0,[ 19039 -11571 -31177 ...  -8294  -9940  -5511]
25,ZZ,FWU3,10,HHE,2019-11-21T00:00:00,2019-11-21T23:59:59.996000,250.0,[  -91    35    10 ... -1221 -1341 -2536]
26,ZZ,FWU3,10,HHE,2019-11-26T00:00:00,2019-11-26T23:59:59.996000,250.0,[ 12587  11221 -13840 ... -27995  18744   8514]
27,ZZ,FWU3,10,HHE,2019-11-12T00:00:00,2019-11-12T08:32:45.560000,250.0,[  -822   -992  -1393 ...  21123  -3767 -38608]
28,ZZ,FWU3,10,HHE,2019-12-23T00:00:00,2019-12-23T23:59:59.996000,250.0,[11530  6190   242 ...  -200  -425   209]
29,ZZ,FWU3,10,HHE,2019-12-06T00:00:00,2019-12-06T23:59:59.996000,250.0,[ -330  -667 -1103 ...  2012  1915   756]
30,ZZ,FWU3,10,HHE,2019-11-09T00:00:00,2019-11-09T23:59:59.996000,250.0,[-1073 -1324 -2836 ...  -395  2203  8841]
31,ZZ,FWU3,10,HHE,2019-11-30T00:00:00,2019-11-30T23:59:59.996000,250.0,[  505  1121  1357 ... -3691 -3868 -4268]
32,ZZ,FWU3,10,HHE,2019-11-11T00:00:00,2019-11-11T23:59:59.996000,250.0,[-1055 -4816 -3984 ...  -675  -812  -755]
